n1;n2;s1;s2;year;kind
Frankreich;Rumaenien;2;1;2016;em
Albanien;Schweiz;0;1;2016;em
Rumaenien;Schweiz;1;1;2016;em
Frankreich;Albanien;2;0;2016;em
Schweiz;Frankreich;0;0;2016;em
Rumaenien;Albanien;0;1;2016;em
Wales;Slowakei;2;1;2016;em
England;Russland;1;1;2016;em
Russland;Slowakei;1;2;2016;em
England;Wales;2;1;2016;em
Slowakei;England;0;0;2016;em
Russland;Wales;0;3;2016;em
Polen;Nordirland;1;0;2016;em
Deutschland;Ukraine;2;0;2016;em
Ukraine;Nordirland;0;2;2016;em
Deutschland;Polen;0;0;2016;em
Ukraine;Polen;0;1;2016;em
Nordirland;Deutschland;0;1;2016;em
Tuerkei;Kroatien;0;1;2016;em
Spanien;Tschechien;1;0;2016;em
Tschechien;Kroatien;2;2;2016;em
Spanien;Tuerkei;3;0;2016;em
Kroatien;Spanien;2;1;2016;em
Tschechien;Tuerkei;0;2;2016;em
Irland;Schweden;1;1;2016;em
Belgien;Italien;0;2;2016;em
Italien;Schweden;1;0;2016;em
Belgien;Irland;3;0;2016;em
Italien;Irland;0;1;2016;em
Schweden;Belgien;0;1;2016;em
Oesterreich;Ungarn;0;2;2016;em
Portugal;Island;1;1;2016;em
Island;Ungarn;1;1;2016;em
Portugal;Oesterreich;0;0;2016;em
Ungarn;Portugal;3;3;2016;em
Island;Oesterreich;2;1;2016;em
Schweiz;Polen;4;5;2016;em
Wales;Nordirland;1;0;2016;em
Kroatien;Portugal;0;1;2016;em
Frankreich;Irland;2;1;2016;em
Deutschland;Slowakei;3;0;2016;em
Ungarn;Belgien;0;4;2016;em
Italien;Spanien;2;0;2016;em
England;Island;1;2;2016;em
Polen;Portugal;3;5;2016;em
Wales;Belgien;3;1;2016;em
Deutschland;Italien;6;5;2016;em
Frankreich;Island;5;2;2016;em
Portugal;Wales;2;0;2016;em
Deutschland;Frankreich;0;2;2016;em
Portugal;Frankreich;1;0;2016;em
Polen;Griechenland;1;1;2012;em
Russland;Tschechien;4;1;2012;em
Griechenland;Tschechien;1;2;2012;em
Polen;Russland;1;1;2012;em
Tschechien;Polen;1;0;2012;em
Griechenland;Russland;1;0;2012;em
Niederlande;Daenemark;0;1;2012;em
Deutschland;Portugal;1;0;2012;em
Daenemark;Portugal;2;3;2012;em
Niederlande;Deutschland;1;2;2012;em
