n1;n2;s1;s2;year;kind
Russland;Saudi-Arabien;5;0;2018;wm2018
Aegypten;Uruguay;0;1;2018;wm2018
Russland;Aegypten;3;1;2018;wm2018
Uruguay;Saudi-Arabien;1;0;2018;wm2018
Uruguay;Russland;3;0;2018;wm2018
Saudi-Arabien;Aegypten;2;1;2018;wm2018
Marokko;Iran;0;1;2018;wm2018
Portugal;Spanien;3;3;2018;wm2018
Portugal;Marokko;1;0;2018;wm2018
Iran;Spanien;0;1;2018;wm2018
Spanien;Marokko;2;2;2018;wm2018
Iran;Portugal;1;1;2018;wm2018
Frankreich;Australien;2;1;2018;wm2018
Peru;Daenemark;0;1;2018;wm2018
Daenemark;Australien;1;1;2018;wm2018
Frankreich;Peru;1;0;2018;wm2018
Daenemark;Frankreich;0;0;2018;wm2018
Australien;Peru;0;2;2018;wm2018
Argentinien;Island;1;1;2018;wm2018
Kroatien;Nigeria;2;0;2018;wm2018
Argentinien;Kroatien;0;3;2018;wm2018
Nigeria;Island;2;0;2018;wm2018
Island;Kroatien;1;2;2018;wm2018
Nigeria;Argentinien;1;2;2018;wm2018
Costa Rica;Serbien;0;1;2018;wm2018
Brasilien;Schweiz;1;1;2018;wm2018
Brasilien;Costa Rica;2;0;2018;wm2018
Serbien;Schweiz;1;2;2018;wm2018
Serbien;Brasilien;0;2;2018;wm2018
Schweiz;Costa Rica;2;2;2018;wm2018
Deutschland;Mexiko;0;1;2018;wm2018
Schweden;Suedkorea;1;0;2018;wm2018
Suedkorea;Mexiko;1;2;2018;wm2018
Deutschland;Schweden;2;1;2018;wm2018
Mexiko;Schweden;0;3;2018;wm2018
Suedkorea;Deutschland;2;0;2018;wm2018
Belgien;Panama;3;0;2018;wm2018
Tunesien;England;1;2;2018;wm2018
Belgien;Tunesien;5;2;2018;wm2018
England;Panama;6;1;2018;wm2018
England;Belgien;0;1;2018;wm2018
Panama;Tunesien;1;2;2018;wm2018
Kolumbien;Japan;1;2;2018;wm2018
Polen;Senegal;1;2;2018;wm2018
Japan;Senegal;2;2;2018;wm2018
Polen;Kolumbien;0;3;2018;wm2018
Senegal;Kolumbien;0;1;2018;wm2018
Japan;Polen;0;1;2018;wm2018
Frankreich;Argentinien;4;3;2018;wm2018
Uruguay;Portugal;2;1;2018;wm2018
Spanien;Russland;3;4;2018;wm2018
Kroatien;Daenemark;3;2;2018;wm2018
Brasilien;Mexiko;2;0;2018;wm2018
Belgien;Japan;3;2;2018;wm2018
Schweden;Schweiz;1;0;2018;wm2018
Kolumbien;England;3;4;2018;wm2018
Uruguay;Frankreich;0;2;2018;wm2018
Brasilien;Belgien;1;2;2018;wm2018
Schweden;England;0;2;2018;wm2018
Russland;Kroatien;3;4;2018;wm2018
Frankreich;Belgien;1;0;2018;wm2018
Kroatien;England;2;1;2018;wm2018
Belgien;England;2;0;2018;wm2018
Frankreich;Kroatien;4;2;2018;wm2018
